gene_id gene_name pvalue
ENSG00000000003.10 TSPAN6 0.12550265023471294
ENSG00000000419.8 DPM1 0.6632755894580293
ENSG00000000457.9 SCYL3 0.7438941451557471
ENSG00000000460.12 C1orf112 1
ENSG00000000938.8 FGR 0.18048284681356996
ENSG00000000971.11 CFH 1
ENSG00000001036.9 FUCA2 0.40832460239046875
ENSG00000001084.6 GCLC 0.01599389206899206
ENSG00000001167.10 NFYA 0.4284217245226535
ENSG00000001460.13 STPG1 1
ENSG00000001461.12 NIPAL3 1
ENSG00000001497.12 LAS1L 0.037454148507423776
ENSG00000001561.6 ENPP4 1
ENSG00000001617.7 SEMA3F 0.257487114234588
ENSG00000001626.10 CFTR 1
ENSG00000001629.5 ANKIB1 1
ENSG00000001630.11 CYP51A1 0.4886791136923064
ENSG00000001631.10 KRIT1 1
ENSG00000002016.12 RAD52 1
ENSG00000002330.9 BAD 0.24937544072741719
ENSG00000002549.8 LAP3 0.16382132841674774
ENSG00000002586.13 CD99 0.2619481619275457
ENSG00000002587.5 HS3ST1 0.5715440188096175
ENSG00000002745.8 WNT16 0.8219110313665985
ENSG00000002746.10 HECW1 1
ENSG00000002822.11 MAD1L1 0.5242576065885182
ENSG00000002834.13 LASP1 0.8320551296356395
ENSG00000002919.10 SNX11 0.47228774056897843
ENSG00000002933.3 TMEM176A 0.8166125050511593
ENSG00000003056.3 M6PR 0.7772370329352378
ENSG00000003096.9 KLHL13 1
ENSG00000003137.4 CYP26B1 1
ENSG00000003147.13 ICA1 0.05524642083127831
ENSG00000003249.9 DBNDD1 0.6303766860604672
ENSG00000003393.10 ALS2 0.06886711925000712
ENSG00000003400.10 CASP10 0.19826648335205416
ENSG00000003402.15 CFLAR 0.27671271277146686
ENSG00000003436.10 TFPI 1
ENSG00000003509.11 NDUFAF7 0.3280806038825096
ENSG00000003756.12 RBM5 0.24137929462616597
ENSG00000003987.9 MTMR7 1
ENSG00000003989.12 SLC7A2 0.7119347196841052
ENSG00000004059.6 ARF5 0.5244153576014842
ENSG00000004139.9 SARM1 0.6365976102593326
ENSG00000004142.7 POLDIP2 0.35953937371896183
ENSG00000004399.8 PLXND1 0.028845772177301637
ENSG00000004455.12 AK2 1
ENSG00000004468.8 CD38 0.10649124836855008
ENSG00000004478.5 FKBP4 0.24950576704617494
ENSG00000004487.11 KDM1A 0.7089267462185422
ENSG00000004534.10 RBM6 0.0653796478856445
ENSG00000004660.10 CAMKK1 1
ENSG00000004700.11 RECQL 1
ENSG00000004766.11 CCDC132 1
ENSG00000004776.7 HSPB6 0.44132500752442383
ENSG00000004777.14 ARHGAP33 0.040623752742067656
ENSG00000004779.5 NDUFAB1 0.3694663680576842
ENSG00000004799.7 PDK4 0.7583553205531693
ENSG00000004838.9 ZMYND10 0.1783588042625225
ENSG00000004848.6 ARX 0.39056695669777225
ENSG00000004864.9 SLC25A13 0.2261904286072709
ENSG00000004866.14 ST7 1
ENSG00000004897.7 CDC27 0.9387699136437113
ENSG00000004961.10 HCCS 1
ENSG00000004975.7 DVL2 0.12190954905351001
ENSG00000005007.8 UPF1 0.38104456897628625
ENSG00000005020.8 SKAP2 1
ENSG00000005022.5 SLC25A5 1
ENSG00000005059.11 CCDC109B 1
ENSG00000005075.11 POLR2J 0.2349266462975255
ENSG00000005100.8 DHX33 0.4052717548789546
ENSG00000005108.11 THSD7A 0.30216079533181855
ENSG00000005156.7 LIG3 0.12139522020658089
ENSG00000005175.5 RPAP3 0.7140451439960849
ENSG00000005189.15 AC004381.6 1
ENSG00000005194.10 CIAPIN1 0.5381095684056924
ENSG00000005206.12 SPPL2B 0.21233736085969748
ENSG00000005238.15 FAM214B 0.07810510345862892
ENSG00000005243.5 COPZ2 1
ENSG00000005249.8 PRKAR2B 1
ENSG00000005302.13 MSL3 0.014209890771326771
ENSG00000005339.8 CREBBP 1
ENSG00000005379.11 BZRAP1 0.0942225935544986
ENSG00000005381.6 MPO 0.8133075968051716
ENSG00000005421.4 PON1 0.21654021339024132
ENSG00000005436.9 GCFC2 0.6012927701032855
ENSG00000005448.12 WDR54 1
ENSG00000005469.7 CROT 0.2783849257012954
ENSG00000005471.11 ABCB4 0.7224921706498028
ENSG00000005483.15 KMT2E 1
ENSG00000005486.12 RHBDD2 1
ENSG00000005513.9 SOX8 0.007864656286076358
ENSG00000005700.10 IBTK 0.4136666449649266
ENSG00000005801.12 ZNF195 1
ENSG00000005810.13 MYCBP2 1
ENSG00000005812.6 FBXL3 0.7080523568069372
ENSG00000005844.13 ITGAL 0.6001666293559585
ENSG00000005882.7 PDK2 1
ENSG00000005884.13 ITGA3 0.22572915088454396
ENSG00000005889.11 ZFX 1
ENSG00000005893.11 LAMP2 0.40106460745987454
ENSG00000005955.8 GGNBP2 1
ENSG00000005961.13 ITGA2B 0.2504289095817024
ENSG00000005981.8 ASB4 0.19012968111538425
ENSG00000006007.7 GDE1 1
ENSG00000006015.13 C19orf60 0.2648160342496295
ENSG00000006016.6 CRLF1 1
ENSG00000006025.7 OSBPL7 0.4806051011774561
ENSG00000006042.7 TMEM98 0.8142740592580806
ENSG00000006047.8 YBX2 0.11071914140731862
ENSG00000006062.9 MAP3K14 0.7739052164916087
ENSG00000006071.7 ABCC8 0.595433063732015
ENSG00000006114.11 SYNRG 0.3079552053659036
ENSG00000006116.3 CACNG3 1
ENSG00000006118.10 TMEM132A 0.14801572867883753
ENSG00000006125.12 AP2B1 0.6688622936675369
ENSG00000006128.7 TAC1 1
ENSG00000006194.6 ZNF263 0.29386841584174217
ENSG00000006210.6 CX3CL1 1
ENSG00000006282.15 SPATA20 8.228987818466385e-4
ENSG00000006283.13 CACNA1G 1
ENSG00000006377.9 DLX6 1
ENSG00000006432.11 MAP3K9 1
ENSG00000006451.3 RALA 0.9484777784241526
ENSG00000006453.9 BAIAP2L1 0.4579941931978148
ENSG00000006459.6 JHDM1D 0.8701524434540535
ENSG00000006468.9 ETV1 1
ENSG00000006530.11 AGK 0.11658611594002559
ENSG00000006534.11 ALDH3B1 0.15018264977264173
ENSG00000006555.6 TTC22 0.5937844266479215
ENSG00000006576.12 PHTF2 0.3297280500198273
ENSG00000006607.9 FARP2 0.05267449714025036
ENSG00000006611.11 USH1C 0.07067724169440677
ENSG00000006625.13 GGCT 1
ENSG00000006634.3 DBF4 0.23431444788194403
ENSG00000006652.9 IFRD1 0.34316019337739834
ENSG00000006695.6 COX10 0.10844571745008079
ENSG00000006704.6 GTF2IRD1 0.13898620311006563
ENSG00000006712.10 PAF1 0.4048336285542029
ENSG00000006715.11 VPS41 0.6782207054215574
ENSG00000006740.12 ARHGAP44 1
ENSG00000006744.14 ELAC2 0.7682010432155927
ENSG00000006747.10 SCIN 1
ENSG00000006756.11 ARSD 0.15909188618283682
ENSG00000006757.7 PNPLA4 0.42215390600462716
ENSG00000006831.9 ADIPOR2 0.7461188923563834
ENSG00000006837.7 CDKL3 0.2935138514979256
ENSG00000007001.8 UPP2 0.45555463714744193
ENSG00000007047.10 MARK4 0.15314775880199405
ENSG00000007062.7 PROM1 0.19504311468942762
ENSG00000007080.6 CCDC124 0.0986403307787364
ENSG00000007168.8 PAFAH1B1 1
ENSG00000007171.12 NOS2 0.24253894633678974
ENSG00000007174.13 DNAH9 0.44979278321833255
ENSG00000007202.10 KIAA0100 0.13544290495378203
ENSG00000007237.14 GAS7 1
ENSG00000007255.6 TRAPPC6A 0.14354505215901836
ENSG00000007264.9 MATK 1
ENSG00000007341.14 ST7L 0.5524916870550006
ENSG00000007372.16 PAX6 0.17360611407065074
ENSG00000007376.3 RPUSD1 0.4261505512374366
ENSG00000007384.11 RHBDF1 0.05874060516202421
ENSG00000007392.12 LUC7L 0.1704481143534589
ENSG00000007402.7 CACNA2D2 0.7937825726689699
ENSG00000007516.9 BAIAP3 0.7122251102008066
ENSG00000007520.3 TSR3 0.17010910976153104
ENSG00000007541.10 PIGQ 0.03162734622120069
ENSG00000007545.11 CRAMP1L 0.15303535350590772
ENSG00000007866.14 TEAD3 0.5281026082695881
ENSG00000007923.11 DNAJC11 0.21400117536119342
ENSG00000007944.10 MYLIP 0.7672025664097906
ENSG00000008018.8 PSMB1 0.09867618577964467
ENSG00000008056.8 SYN1 1
ENSG00000008083.9 JARID2 1
ENSG00000008086.6 CDKL5 1
ENSG00000008118.5 CAMK1G 0.8084381022228319
ENSG00000008128.18 CDK11A 0.1920257438692707
ENSG00000008130.11 NADK 0.22296562594213917
ENSG00000008226.15 DLEC1 0.6183927961396065
ENSG00000008256.11 CYTH3 0.053819949085385246
ENSG00000008277.10 ADAM22 1
ENSG00000008282.3 SYPL1 0.013784383352351368
ENSG00000008283.11 CYB561 1
ENSG00000008294.16 SPAG9 1
ENSG00000008300.10 CELSR3 0.2978678524240604
ENSG00000008311.10 AASS 0.8135983978917988
ENSG00000008324.6 SS18L2 0.5932178279392756
ENSG00000008382.11 MPND 0.25382333597977996
ENSG00000008394.8 MGST1 0.9031621589758536
ENSG00000008405.7 CRY1 0.08974541660335306
ENSG00000008441.12 NFIX 0.7812440051158117
ENSG00000008513.10 ST3GAL1 0.3018960025368579
ENSG00000008517.12 IL32 0.22367863510088393
ENSG00000008710.13 PKD1 0.38867048110889957
ENSG00000008735.10 MAPK8IP2 0.1919574852487249
ENSG00000008838.13 MED24 0.0910634733005879
ENSG00000008853.12 RHOBTB2 1
ENSG00000008869.7 HEATR5B 1
ENSG00000008952.12 SEC62 0.3458616062650439
ENSG00000008988.5 RPS20 0.6180356169932195
ENSG00000009307.11 CSDE1 0.8047159975144068
ENSG00000009335.13 UBE3C 0.7197479703388538
ENSG00000009413.11 REV3L 1
ENSG00000009694.9 TENM1 1
ENSG00000009709.7 PAX7 1
ENSG00000009724.12 MASP2 0.3388795323983582
ENSG00000009780.11 FAM76A 0.19532923091390417
ENSG00000009790.10 TRAF3IP3 1
ENSG00000009830.7 POMT2 0.20997188236074638
ENSG00000009844.11 VTA1 1
ENSG00000009950.11 MLXIPL 0.1474671603915887
ENSG00000009954.6 BAZ1B 1
ENSG00000010017.9 RANBP9 0.5587144118358504
ENSG00000010072.11 SPRTN 0.8738791118366386
ENSG00000010165.15 METTL13 0.5945418068647502
