"","first_half","second_half","method","n"
"gene1",-Inf,4.82976565397721,"CARseq LFC","Total sample size in a half = 25"
"gene2",0.121167051930004,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene3",Inf,-0.780212504836098,"CARseq LFC","Total sample size in a half = 25"
"gene4",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene5",-1.26310926171196,-0.724546410759574,"CARseq LFC","Total sample size in a half = 25"
"gene6",1.79427478276233,-0.0216898745475919,"CARseq LFC","Total sample size in a half = 25"
"gene7",11.8895325591356,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene8",-0.419074807177227,-0.0472569297499943,"CARseq LFC","Total sample size in a half = 25"
"gene9",-0.576965829108486,NA,"CARseq LFC","Total sample size in a half = 25"
"gene10",NA,-0.870675344803771,"CARseq LFC","Total sample size in a half = 25"
"gene11",NA,-0.227806985133469,"CARseq LFC","Total sample size in a half = 25"
"gene12",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene13",-0.784772027197255,-0.497490734031015,"CARseq LFC","Total sample size in a half = 25"
"gene14",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene15",-1.04613488463481,-0.501295936352699,"CARseq LFC","Total sample size in a half = 25"
"gene16",-0.304137067394073,-0.840737672988404,"CARseq LFC","Total sample size in a half = 25"
"gene17",0.921646878709612,-29.941268016358,"CARseq LFC","Total sample size in a half = 25"
"gene18",0.00569873463570925,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene19",NA,-0.659181948713963,"CARseq LFC","Total sample size in a half = 25"
"gene20",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene21",-1.27262679734423,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene22",1.03832361243051,-0.623743965141702,"CARseq LFC","Total sample size in a half = 25"
"gene23",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene24",-2.23056033184242,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene25",Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene26",-0.416304674297973,0.762312535257484,"CARseq LFC","Total sample size in a half = 25"
"gene27",-1.23105547673159,-1.26086600667778,"CARseq LFC","Total sample size in a half = 25"
"gene28",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene29",Inf,-0.11926057225592,"CARseq LFC","Total sample size in a half = 25"
"gene30",Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene31",-0.255530277413078,-0.452564318626636,"CARseq LFC","Total sample size in a half = 25"
"gene32",-1.21473248251183,0.115999501740288,"CARseq LFC","Total sample size in a half = 25"
"gene33",0.721110300865114,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene34",Inf,0.998969228666744,"CARseq LFC","Total sample size in a half = 25"
"gene35",-Inf,15.1753805361638,"CARseq LFC","Total sample size in a half = 25"
"gene36",-Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene37",-0.430303474246086,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene38",-0.38078697602478,0.185077532405024,"CARseq LFC","Total sample size in a half = 25"
"gene39",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene40",-0.71494117536226,-0.727598784150348,"CARseq LFC","Total sample size in a half = 25"
"gene41",-2.45463981990769,-0.453506171842407,"CARseq LFC","Total sample size in a half = 25"
"gene42",-1.27863287738274,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene43",-2.56021065246467,-0.0425826744974157,"CARseq LFC","Total sample size in a half = 25"
"gene44",-1.60739988972919,-4.23846055377271,"CARseq LFC","Total sample size in a half = 25"
"gene45",Inf,0.433383719419689,"CARseq LFC","Total sample size in a half = 25"
"gene46",-14.832578050365,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene47",-Inf,-1.63640669437753,"CARseq LFC","Total sample size in a half = 25"
"gene48",-0.0444866995673139,0.181363944360504,"CARseq LFC","Total sample size in a half = 25"
"gene49",-Inf,-1.29537384351687,"CARseq LFC","Total sample size in a half = 25"
"gene50",-0.903943372614801,-3.42521828621175,"CARseq LFC","Total sample size in a half = 25"
"gene51",0.442687063789991,-0.261614076803508,"CARseq LFC","Total sample size in a half = 25"
"gene52",-1.05589202683422,0.372591039778475,"CARseq LFC","Total sample size in a half = 25"
"gene53",-1.21864291564072,-0.836593697143435,"CARseq LFC","Total sample size in a half = 25"
"gene54",0.390528250465613,1.2756605273051,"CARseq LFC","Total sample size in a half = 25"
"gene55",-0.678528350054009,-0.97343326384885,"CARseq LFC","Total sample size in a half = 25"
"gene56",-Inf,0.074845219658993,"CARseq LFC","Total sample size in a half = 25"
"gene57",-1.21053792406713,-0.139245818914941,"CARseq LFC","Total sample size in a half = 25"
"gene58",Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene59",-1.72398611312302,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene60",-0.852879597903762,1.52910278840895,"CARseq LFC","Total sample size in a half = 25"
"gene61",-0.113114312681718,0.0250686150049542,"CARseq LFC","Total sample size in a half = 25"
"gene62",0.00363850536730179,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene63",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene64",Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene65",-1.26802107515008,-0.408371120883235,"CARseq LFC","Total sample size in a half = 25"
"gene66",NA,NA,"CARseq LFC","Total sample size in a half = 25"
"gene67",-1.75436277528653,-0.764947718722881,"CARseq LFC","Total sample size in a half = 25"
"gene68",-Inf,-0.458087858200994,"CARseq LFC","Total sample size in a half = 25"
"gene69",-0.870909451887321,-0.324666951092104,"CARseq LFC","Total sample size in a half = 25"
"gene70",Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene71",-Inf,-0.595887489519847,"CARseq LFC","Total sample size in a half = 25"
"gene72",NA,NA,"CARseq LFC","Total sample size in a half = 25"
"gene73",-2.25905980473502,-2.11962058952841,"CARseq LFC","Total sample size in a half = 25"
"gene74",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene75",-0.664686196239961,-0.715066045070273,"CARseq LFC","Total sample size in a half = 25"
"gene76",Inf,0.489529385150215,"CARseq LFC","Total sample size in a half = 25"
"gene77",-2.20877086137792,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene78",NA,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene79",Inf,-1.56700671160037,"CARseq LFC","Total sample size in a half = 25"
"gene80",-Inf,-0.407005353451705,"CARseq LFC","Total sample size in a half = 25"
"gene81",NA,1.94590873928808,"CARseq LFC","Total sample size in a half = 25"
"gene82",-Inf,0.115914392829024,"CARseq LFC","Total sample size in a half = 25"
"gene83",-Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene84",1.45554582655622,0.430129319419186,"CARseq LFC","Total sample size in a half = 25"
"gene85",-0.944665825677024,-0.43693122688402,"CARseq LFC","Total sample size in a half = 25"
"gene86",0.257196155526911,-1.04313586939993,"CARseq LFC","Total sample size in a half = 25"
"gene87",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene88",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene89",-Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene90",-2.77375258433321,-0.327724098222279,"CARseq LFC","Total sample size in a half = 25"
"gene91",-0.478804830585419,-0.240297401853356,"CARseq LFC","Total sample size in a half = 25"
"gene92",-0.554898008921726,-1.00884612216367,"CARseq LFC","Total sample size in a half = 25"
"gene93",-Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene94",Inf,-1.13612494319158,"CARseq LFC","Total sample size in a half = 25"
"gene95",-0.881060111242711,-0.579865022451177,"CARseq LFC","Total sample size in a half = 25"
"gene96",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene97",-0.942605774448122,NA,"CARseq LFC","Total sample size in a half = 25"
"gene98",-1.98983539110285,-0.200840784280554,"CARseq LFC","Total sample size in a half = 25"
"gene99",-0.907152969437926,-1.3731713912925,"CARseq LFC","Total sample size in a half = 25"
"gene100",0.4291654441821,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene101",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene102",Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene103",Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene104",-0.0596530792703865,3.63591265926189,"CARseq LFC","Total sample size in a half = 25"
"gene105",-Inf,-1.56745754485612,"CARseq LFC","Total sample size in a half = 25"
"gene106",Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene107",-0.892282528130124,-0.00458136228775285,"CARseq LFC","Total sample size in a half = 25"
"gene108",0.201777927721858,-2.41351571676205,"CARseq LFC","Total sample size in a half = 25"
"gene109",0.944505862064635,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene110",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene111",0.480557729498094,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene112",NA,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene113",-2.44433137148659,-2.05917951615623,"CARseq LFC","Total sample size in a half = 25"
"gene114",-2.82324877187432,-0.202134482581652,"CARseq LFC","Total sample size in a half = 25"
"gene115",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene116",-0.744262529528317,-1.27791589547977,"CARseq LFC","Total sample size in a half = 25"
"gene117",-0.214347459242453,-0.785704676891619,"CARseq LFC","Total sample size in a half = 25"
"gene118",-0.696390336712133,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene119",-0.418219695389955,NA,"CARseq LFC","Total sample size in a half = 25"
"gene120",NA,0.0263007756804091,"CARseq LFC","Total sample size in a half = 25"
"gene121",0.159556829766943,-1.62333656707798,"CARseq LFC","Total sample size in a half = 25"
"gene122",-0.437596843444306,-3.37120827657844,"CARseq LFC","Total sample size in a half = 25"
"gene123",-2.56694827890108,NA,"CARseq LFC","Total sample size in a half = 25"
"gene124",-0.773952319199436,-1.47673972819485,"CARseq LFC","Total sample size in a half = 25"
"gene125",0.295104246614657,0.232328567483395,"CARseq LFC","Total sample size in a half = 25"
"gene126",-1.23939461682586,NA,"CARseq LFC","Total sample size in a half = 25"
"gene127",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene128",-1.55076319596967,-1.33545850183837,"CARseq LFC","Total sample size in a half = 25"
"gene129",NA,-0.355577405861819,"CARseq LFC","Total sample size in a half = 25"
"gene130",0.558484174229531,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene131",-Inf,-0.346916738697357,"CARseq LFC","Total sample size in a half = 25"
"gene132",-0.658105197783784,-1.44036277401387,"CARseq LFC","Total sample size in a half = 25"
"gene133",-0.957465576924802,1.26744320161053,"CARseq LFC","Total sample size in a half = 25"
"gene134",-0.554691267280585,-0.477048033912117,"CARseq LFC","Total sample size in a half = 25"
"gene135",Inf,-0.572193179520282,"CARseq LFC","Total sample size in a half = 25"
