Mixture	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	P-value	Correlation	RMSE
TCGA.D3.A8GB.06A	0.367604218124704	0	0.114519188502532	0.117915297427164	0.0136919047495838	0.336214603321597	0.0500547878744194	0	0.821107956002908	0.748954665907504
TCGA.WE.A8ZN.06A	0.0405888933567438	0.00311098375603753	0.154003016542418	0.174282127798086	0.0531589151938688	0.543415793518236	0.0314402698346097	0	0.7152274356325	0.738868774904622
TCGA.ER.A2NF.01A	0.262125930975256	0	0.0726484496663617	0.0494342582392686	0.0394253926560651	0.564143011264517	0.012222957198532	0	0.688274286327295	0.751373190498327
TCGA.HR.A2OH.06A	0	0	0.00769489669157822	0.375028970159027	0	0.616477935390722	0.000798197758672404	0	0.715134910175967	0.720788155160797
TCGA.WE.A8K6.06A	0.00861979209219429	0.00984236431970526	0.128245117259805	0.00247598746584208	0.225778951737827	0.622520035671299	0.00251775145332721	0	0.706991960033069	0.723562741472324
TCGA.RP.A695.06A	0.0196806801799028	0.00405229553298082	0.106002044428725	0.076739045742131	0.0459145827470523	0.747611351369208	0	0	0.610147374592783	0.786562928662701
TCGA.D9.A3Z1.06A	0.0870589854565209	0.00189062854481195	0.0104843431093434	0.0819575551118959	0.0178309264148605	0.796506955138828	0.00427060622373919	0	0.716839217462076	0.697297913108508
TCGA.GF.A6C8.06A	0.00420835372909275	0.00255133811740298	0.108431675841397	0	0.048669067137545	0.775839835167855	0.060299730006707	0	0.774589419684709	0.64288083186336
TCGA.D3.A1Q6.06A	0.00726257580741156	0.00551479965163804	0.302205460884884	0	0.0781486443234954	0.606868519332571	0	0	0.92874616546704	0.557316864869277
TCGA.ER.A195.06A	0	0	0.07835983715885	0.0945829983528346	0.0241349082747576	0.802922256213558	0	0	0.724402962367324	0.688283456120423
TCGA.ER.A2NG.06A	0.00432513293538166	0	0.0387244124111481	0.222640228394707	0.0327348088880063	0.623696247189822	0.0778791701809348	0	0.699792988205529	0.726221061773266
TCGA.EB.A4IQ.01A	0.00643185149589159	0.0131471830872652	0.297814115757876	0	0.119633001421742	0.553830399692343	0.00914344854488239	0	0.930569416562454	0.588742466171213
TCGA.EB.A3Y6.01A	0.004182641034019	0	0.150531937087736	0.0470640776464858	0.0561482202781693	0.737464678482013	0.00460844547157722	0	0.743401066959348	0.676496245359108
TCGA.FR.A726.01A	0.00130806078467284	0.00911044519826421	0.156371021399348	0	0.112604985336406	0.72060548728131	0	0	0.979099987789246	0.425952875471756
TCGA.XV.AAZY.01A	0.103153316927635	0.00218375534012696	0.31287661776722	0.0555106658600936	0.0380646960247488	0.424213843352933	0.0639971047272424	0	0.731614419663061	0.759044112797551
TCGA.FS.A1ZS.06A	0	0.00605982646267259	0.131763622143876	0	0.0705078589186234	0.791668692474828	0	0	0.718090705918525	0.694139906978371
TCGA.ER.A2ND.06A	0.0197495574814882	0	0.125477468012531	0.049631866189584	0.064804131441846	0.724693698746145	0.0156432781284061	0	0.713701134260849	0.704362478692953
TCGA.DA.A1I5.06A	0.0827449173294437	0	0.0290612514616866	0	0.0476348265962194	0.83584728503731	0.00471171957534048	0	0.868097322265083	0.527550703312868
TCGA.BF.AAP6.01A	0.00520272851242137	0.00296558982021565	0.300340126870228	0	0.0915650632752039	0.59680415157324	0.00312233994869077	0	0.90038225918141	0.587392287681955
TCGA.EE.A180.06A	0	0.00276779283910855	0.123936351743939	0.0252316271292715	0.0511578681276011	0.79690636016008	0	0	0.753563790663385	0.65996228964133
TCGA.EB.A5VV.06A	0.79469473144216	0	0.140311037904076	0	0	0.0617835133974346	0.00321071725632997	0	0.759358490246276	0.748368158541004
TCGA.BF.AAOU.01A	0.0382908828005232	0.00369612412054077	0.056852863525832	0	0.0675112112024769	0.812968522622346	0.0206803957282813	0	0.79860578969687	0.61332545594027
TCGA.EB.A431.01A	0.0187412494081612	0	0.326116505809277	0.00478691521762417	0	0.635374470695031	0.0149808588699063	0	0.85355270495875	0.60967202148192
TCGA.EB.A24D.01A	0.135900592845132	0.00562849551989856	0.144735136321331	0.0361727599136432	0.0302482500524086	0.647314765347586	0	0	0.644916101535857	0.765774884132487
TCGA.RP.A690.06A	0.0204263675205458	0.00141181871490152	0.177200465435952	0.00642890854604491	0.0663313876289662	0.723787121910734	0.0044139302428554	0	0.704152917792193	0.711931613435174
TCGA.FR.A7U8.06A	0.0060199757016824	0.00280009995264843	0.161971507716904	0	0.0730111159634302	0.751269465150115	0.00492783551522038	0	0.799918875905309	0.620880069463077
TCGA.ER.A19A.06A	0	0	0.0710244143693671	0.00975890570928617	0.0357308658117753	0.86649062446507	0.0169951896445013	0	0.725023426408855	0.687999452838149
TCGA.DA.A1I0.06A	0.316221990023356	0	0.304322208239781	0	0.0876087608832985	0.290551611472781	0.00129542938078335	0	0.713822468669316	0.821887342658632
TCGA.EE.A2A2.06A	0.597378296628302	0.00301182611557742	0.0352125639639827	0.026645726649152	0.0161614913227757	0.32159009532021	0	0	0.841555228980846	0.713377691013815
TCGA.DA.A1HV.06A	0.108270567259853	0	0.0113527567870105	0.0422792298065605	0.0373259046603401	0.800771541486235	0	0	0.76808814567339	0.647200516358623
TCGA.ER.A19D.06A	0.0654942363964296	0	0.0224922666606301	0	0.0314848424300909	0.877113995747264	0.00341465876558497	0	0.736558800074255	0.676554857333868
TCGA.EE.A29S.06A	0	0.00122341401274067	0.158946643053997	0.0217816256412912	0.0348985896534866	0.783149727638484	0	0	0.748830321206425	0.666002081359874
