baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_zeros	percent_zeros
DNAJC11	92.1450738431106	-0.252443241208544	0.128826740024281	-1.95955623157866	0.0500476813497427	0.269238896341375	0	0
NADK	10.3048740018346	0.0991928443375791	0.243928405684555	0.406647368760546	0.68426700132357	NA	1	0.0434782608695652
MASP2	12.6256353425634	-0.0323042802471653	0.305669253342812	-0.105683773863038	0.915833254826252	NA	2	0.0869565217391304
CLCN6	29.9007758111612	-0.274095346210738	0.215867900509612	-1.26973647107173	0.204178516886426	NA	0	0
TNFRSF1B	3.76584939222289	-0.513411743202617	0.458549111063182	-1.11964396138994	0.262865514022521	NA	1	0.0434782608695652
THAP3	17.9869778371961	-0.386071537540881	0.215450353969428	-1.79192807265318	0.0731444884641567	NA	0	0
VPS13D	334.17524572549	-0.0877002318550599	0.054673300338214	-1.60407788285211	0.108696886373581	0.396472013234375	0	0
H6PD	20.9224787964505	-0.236527824372098	0.227851980848176	-1.03807666491038	0.299234364357182	NA	0	0
VAMP3	20.2892888435747	0.0405572172096621	0.175646664242262	0.230902291168611	0.817390710735391	NA	0	0
PER3	140.044835809879	0.188734383722021	0.156205919115209	1.20824092192577	0.226954605389285	0.54695927254396	0	0
KIF1B	811.182269203635	0.104621815118713	0.058853713088831	1.77765870032366	0.0754599265732347	0.328573397280605	0	0
PRKCZ	139.84727243666	-0.457132608940095	0.127110116337439	-3.59635111753454	0.000322712145061403	0.0309138881331292	0	0
KCNAB2	142.746868330885	-0.269630925045385	0.118340171036242	-2.27843954157215	0.0227004027669572	0.196056541834309	0	0
ENO1	173.001815575395	-0.0310199541606928	0.186939116662075	-0.165936133189111	0.8682072114916	0.947155870753149	0	0
GNB1	358.043703857987	0.140549818280013	0.0910628687393608	1.54343719043481	0.122724735988951	0.418788624001806	0	0
SDF4	59.579041790945	0.0117555279012763	0.172471735018017	0.0681591560498202	0.94565894007464	0.97987803477768	0	0
PLOD1	31.1479211545386	0.151908135834154	0.18528928558976	0.819843065132686	0.412305577214131	NA	0	0
ACOT7	178.244333641659	-0.224481888938236	0.106688496387414	-2.10408709972895	0.0353708499386434	0.234607533019629	0	0
DVL1	32.6689544481229	0.0147733675568169	0.160282358845579	0.0921708893182063	0.926562266525963	NA	0	0
MORN1	23.0559859549581	0.0592625525087721	0.222705571859084	0.266102693408453	0.790160120725007	NA	0	0
CEP104	75.6822219756153	0.0521657548725464	0.104587876460712	0.498774395636021	0.617938327311352	0.828219894616405	0	0
WRAP73	14.0270173615703	-0.582032721822289	0.209048646625884	-2.78419751199777	0.00536603467540835	NA	0	0
ICMT	35.9198641995398	0.294542150816935	0.18416738789246	1.59931763265778	0.109750043563811	NA	0	0
RPL22	80.221391997841	0.267977837948556	0.12210536343133	2.1946442843951	0.0281891242662421	0.213733057980096	0	0
CHD5	350.414060581716	-0.216827579770075	0.148448845835659	-1.46062152621998	0.144119335456512	0.448679844533348	0	0
PHF13	17.6788991551631	0.260772762219477	0.238192915757821	1.09479646525094	0.273605815369364	NA	0	0
ERRFI1	48.1995011082077	0.177328042850079	0.179966579031957	0.985338743470753	0.324457707921992	0.633008868130452	0	0
PARK7	103.55559695155	-0.459229981853782	0.19536633999509	-2.35060953624521	0.0187426902410908	0.182130304884648	0	0
SRM	81.1755969279921	-0.205392281953234	0.264242763957027	-0.777286306264327	0.436989872327931	0.720773160118126	0	0
FBXO2	49.0960305948548	-0.128994888279049	0.239271877545848	-0.539114289577685	0.589807996242224	0.813538475499184	0	0
FBXO6	12.6159383270763	-0.512601438560112	0.22212266532984	-2.3077403550823	0.0210135821107926	NA	1	0.0434782608695652
MAD2L2	9.53102122621426	-0.579611856302951	0.238611031289481	-2.42910754448637	0.0151360418448304	NA	0	0
KIAA2013	36.1548401594272	0.0314360574819385	0.157853264612809	0.199147338251424	0.842147492198753	NA	0	0
MFN2	96.0953280441721	0.0925934487999157	0.107576866995638	0.860718957391368	0.38939284948214	0.689827470233883	0	0
MIIP	15.9331280240334	-0.215675715756181	0.234509982314031	-0.919686717077018	0.357736495893428	NA	0	0
PRDM2	220.250384138683	-0.000743012890643572	0.0824352646708556	-0.00901328931993177	0.992808532981434	0.99752582498756	0	0
UBIAD1	19.7745516386034	-0.205487465511643	0.173386967713784	-1.18513789254824	0.235962931182652	NA	0	0
TARDBP	4.87760569234777	-0.255581707434046	0.342632133438643	-0.745936187797207	0.45570596360327	NA	2	0.0869565217391304
TNFRSF8	10.249816936158	0.0841290901799446	0.296710922788929	0.283538905103913	0.776763762760502	NA	1	0.0434782608695652
INTS11	64.0340918142779	-0.19597934699704	0.174099538605501	-1.12567413197525	0.260303476948604	0.578008286051463	0	0
LRRC47	47.8858459367979	-0.037365768469572	0.167114379326517	-0.22359397569592	0.823073251698983	0.927980778396177	0	0
UBE4B	267.848492467451	-0.064828059450676	0.0836059114830455	-0.775400426844488	0.438103082986031	0.721395322274527	0	0
CASZ1	8.01706296084226	-0.107595365857606	0.300979381616963	-0.357484174761632	0.720729371294633	NA	1	0.0434782608695652
