baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_zeros	percent_zeros
DNAJC11	10.0700083794985	0.0130471159041875	0.213744472017236	0.0610407173624373	0.951326781729852	0.99491824022698	0	0
NADK	2.0131749742468	-0.232739666316133	0.578383178248141	-0.40239701822082	0.687391864112742	NA	9	0.391304347826087
MASP2	1.84898347811364	0.918875385547215	0.480870110761647	1.91085984548263	0.0560225945052406	NA	6	0.260869565217391
CLCN6	4.27428848273632	0.64979156410697	0.304643260007371	2.13295893725418	0.0329280948405582	0.566459832265704	2	0.0869565217391304
TNFRSF1B	1.28842278918248	-1.08712416681573	0.665619764737565	-1.63325103070572	0.102416211278909	NA	11	0.478260869565217
THAP3	3.40900997217112	-0.465191127122389	0.360833127782745	-1.28921401973512	0.197323692344881	0.849319881803437	3	0.130434782608696
VPS13D	40.813434873048	0.00309894406068576	0.11782894135354	0.0263003641133254	0.979017764492422	0.997637239122599	0	0
H6PD	8.16462993230248	0.0799425018764503	0.242130204868885	0.330163276901945	0.741276593194881	0.966270659197381	1	0.0434782608695652
VAMP3	8.55878479583872	-0.250698348103094	0.217027796008158	-1.15514396180695	0.248031478151962	0.885169788917435	1	0.0434782608695652
PER3	29.6245991573258	-0.121779793368146	0.193867258977982	-0.628160701348632	0.529898671527787	0.942693478006937	0	0
KIF1B	199.340492220624	0.0560607907701373	0.0641723030301187	0.873597925008639	0.382337256623672	0.922200964943985	0	0
PRKCZ	23.0972296510529	-0.182059232849699	0.166646272877858	-1.09248907704728	0.274618188969171	0.890491811077424	0	0
KCNAB2	6.1435417201356	0.0967018366806022	0.329179661576094	0.293766134327981	0.768936614718373	0.973582378766642	2	0.0869565217391304
ENO1	16.7981133215724	-0.343312902206419	0.248690697540367	-1.38048148001472	0.167438448028576	0.822123356151463	1	0.0434782608695652
GNB1	49.006036859938	-0.195298285198766	0.114367486917458	-1.70763816240641	0.0877035026976807	0.720115436917775	0	0
SDF4	9.48167613155967	-0.00109112851074421	0.262452610748809	-0.00415743058387223	0.996682859880223	0.999582148669936	1	0.0434782608695652
PLOD1	4.80120144929614	0.164519043182929	0.303575080330348	0.541938564271812	0.587860829060168	0.952838860894201	4	0.173913043478261
ACOT7	15.377102299925	-0.447678061781615	0.260267272454171	-1.72007051658961	0.0854196242803796	0.716547325603493	1	0.0434782608695652
DVL1	6.49312405621261	0.0497658405137343	0.258308306850161	0.192660627606538	0.847224760312259	0.986206003573614	1	0.0434782608695652
MORN1	1.89882646001935	-0.15240948894355	0.546276063045239	-0.278997194374465	0.780246977878375	NA	4	0.173913043478261
CEP104	9.45186646527939	-0.385684913959599	0.22087993677783	-1.7461292301416	0.0807884986498051	0.706796839710351	1	0.0434782608695652
WRAP73	1.92083986392299	-0.531528870714671	0.500880615429294	-1.06118874306826	0.288604134140362	NA	7	0.304347826086957
ICMT	3.43092235637004	-0.147887335563259	0.460444509081786	-0.321183840063973	0.748071077681657	0.968064449293707	5	0.217391304347826
RPL22	8.96736150220674	-0.290758053967682	0.217819569011969	-1.33485735596008	0.181923037087691	0.836490051811389	1	0.0434782608695652
CHD5	9.52023475953539	-0.624298870626691	0.310738780285423	-2.00907936258633	0.0445287178969693	0.611610188007539	0	0
PHF13	2.25434656514629	-0.125028570022707	0.405382196892662	-0.3084214624645	0.757761652757712	NA	5	0.217391304347826
ERRFI1	8.51851568635394	-0.223904228848465	0.277450111107827	-0.807007169521181	0.419662352561836	0.929935936993351	0	0
PARK7	16.4412075579643	-0.742767720963413	0.295724911200762	-2.51168465296846	0.0120156406160828	0.399905191905779	1	0.0434782608695652
SRM	3.54497485967678	-0.0946564908893665	0.42766616422872	-0.221332662732568	0.824833419388185	0.981514742894194	3	0.130434782608696
FBXO2	6.30617249822611	-0.518788177460501	0.498766262193009	-1.04014288211768	0.298273523418115	0.896354112448676	2	0.0869565217391304
FBXO6	1.43252630546929	-0.597503340656559	0.535877311304307	-1.1150002585522	0.264850310929808	NA	8	0.347826086956522
MAD2L2	2.54511044064164	-0.550726029902616	0.390440435165402	-1.41052508987527	0.158384693328961	NA	4	0.173913043478261
KIAA2013	10.9424692153071	0.0775384227580605	0.206398025051503	0.375674247554995	0.707159085304847	0.964787704615204	0	0
MFN2	7.80091080127348	-0.0535146030129594	0.236459074181754	-0.226316554770173	0.820955223547611	0.98031154349952	1	0.0434782608695652
MIIP	2.21630175625914	-0.405511387680798	0.512454803159746	-0.791311516997118	0.428762229361988	NA	7	0.304347826086957
PRDM2	39.1946788532571	-0.0346666393223327	0.11035302731581	-0.314143074871187	0.753412375232943	0.970481153917819	0	0
UBIAD1	4.99631096154572	0.0550320729464847	0.361311836935311	0.152311846224782	0.87894098199552	0.988802221061662	2	0.0869565217391304
TARDBP	1.29866848093806	0.562882653298694	0.516641768206	1.08950280046707	0.275932220570312	NA	8	0.347826086956522
TNFRSF8	0.670609567627495	-1.24672201585549	0.74233097700529	-1.67946920507752	0.0930606356519807	NA	12	0.521739130434783
INTS11	11.18938620694	-0.249319595507704	0.193213757669879	-1.2903822093957	0.196917985992565	0.849319881803437	2	0.0869565217391304
LRRC47	7.59474659970941	0.300363772370074	0.278756332119011	1.07751371991018	0.281250824748226	0.895078782298704	1	0.0434782608695652
UBE4B	78.5248365544473	-0.0268157975686709	0.10144728576793	-0.26433233147326	0.791523849058157	0.977374734135227	1	0.0434782608695652
CASZ1	0.497041326210748	-1.03560672224608	0.790343976511274	-1.31032405259472	0.190086233963958	NA	12	0.521739130434783
ACAP3	32.4580497535535	-0.378007913141329	0.244136920666713	-1.54834390517021	0.121539519001222	0.774110582780778	0	0
C1orf159	11.636590621251	-0.150055234363341	0.1986002907126	-0.755564021708756	0.449910633890459	0.932437279762416	1	0.0434782608695652
CA6	0.796185179361817	0.118116329420143	0.731312520280026	0.161512795343522	0.871689534435246	NA	9	0.391304347826087
NPHP4	5.75008674547737	0.224407966272937	0.267377860148246	0.83929150359912	0.401305749880724	0.929228817679533	2	0.0869565217391304
FBXO44	7.95397029019449	-0.330541397700357	0.287101023847839	-1.15130692768111	0.249605988118736	0.886134431736401	2	0.0869565217391304
SLC2A5	1.92798944425076	0.194851177356932	0.471838434340555	0.412961647834513	0.679634712992495	NA	7	0.304347826086957
RERE	238.199707190438	0.0165687025553127	0.0762499067768086	0.21729472540617	0.827978667416196	0.982345961421625	0	0
CFAP74	2.26749623168691	-0.451018341482401	0.405400969923248	-1.11252408095567	0.265912882205788	NA	6	0.260869565217391
PRDM16	1.33646949345603	-0.65274452610012	0.532041855515899	-1.2268668702149	0.219872632300356	NA	7	0.304347826086957
FHAD1	2.5864224506643	-0.167309932787838	0.397214988460525	-0.421207501349021	0.673603567214473	NA	5	0.217391304347826
EFHD2	2.9101233164698	-0.305254008638578	0.477731353654168	-0.63896582525658	0.522845164184262	NA	6	0.260869565217391
PEX14	14.5207672616064	0.0993572751773759	0.181513082058345	0.547383549718135	0.584115254489835	0.950799858461547	0	0
PGD	4.61363965071236	-0.229219017348414	0.294214309022907	-0.779088610984475	0.435927518562761	0.932437279762416	3	0.130434782608696
PLCH2_ENSG00000149527	9.62914744305812	-0.585330196352118	0.329763058381814	-1.77500232810916	0.0758975027788816	0.695794393826608	1	0.0434782608695652
PRXL2B_ENSG00000157870	1.25190650845715	-0.509126996891989	0.619907108995713	-0.821295625592688	0.411477898786926	NA	10	0.434782608695652
TNFRSF14_ENSG00000157873	0.420907719584619	-0.273913893482668	0.906140550557345	-0.302286321160873	0.76243380502246	NA	14	0.608695652173913
PANK4_ENSG00000157881	1.98477503686277	-0.0930960983385232	0.659361149229254	-0.141191361437273	0.887718770286848	NA	9	0.391304347826087
PEX10	3.79687560852368	-0.39308006265898	0.399137548825788	-0.984823562241567	0.324710744725932	0.901749807291683	4	0.173913043478261
RER1	10.5053626525948	-0.278519734068071	0.291194245926465	-0.956474030528769	0.338832798583611	0.91128384337944	2	0.0869565217391304
SKI	9.28970107935406	0.145846163098644	0.216530186132881	0.673560419927505	0.500590823842109	0.941561585700178	1	0.0434782608695652
TPRG1L	5.70331579564559	0.363733880143632	0.352318346401395	1.0324011901703	0.301884214635282	0.896354112448676	3	0.130434782608696
RNF207	0.439597958094549	0.531767845134963	0.858475407237868	0.619432823178847	0.53563126360545	NA	12	0.521739130434783
GPR153	0.267404410399225	0.119257617032886	0.966337119586585	0.123412021142173	0.901780838347432	NA	14	0.608695652173913
DFFA	6.33250475663317	-0.212702432604503	0.27450303690748	-0.774863677286722	0.438420217305972	0.932437279762416	3	0.130434782608696
ATAD3B	4.31028764030803	-0.131263115287592	0.337410882650502	-0.389030473043624	0.69725360428495	0.964575063792294	3	0.130434782608696
SSU72	10.8486585832049	-0.582836720317209	0.267930121569193	-2.17533107850545	0.0296053151954486	0.543780753883009	1	0.0434782608695652
UBE2J2	7.43450549927936	-0.114368035499582	0.250174160947679	-0.457153668733599	0.647560597126057	0.961163217293032	2	0.0869565217391304
