baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_zeros	percent_zeros
DNAJC11	3.82469328793316	0.042778331575809	0.405217993954636	0.105568687012942	0.915924570026272	0.999898810646275	2	0.0952380952380952
NADK	0.677599735574114	-0.525636479519318	0.952141692091399	-0.552056993077099	0.580909306087785	0.999898810646275	10	0.476190476190476
MASP2	0.579338276731515	1.13752964253998	1.12842471681576	1.00806870461851	0.313421480347964	0.999898810646275	11	0.523809523809524
CLCN6	2.18193966188775	0.0893238523036408	0.443443039182521	0.201432527767958	0.840360382948962	0.999898810646275	4	0.19047619047619
TNFRSF1B	18.4489376913405	-0.409848239135249	0.468511218643467	-0.874788527629988	0.381688980581028	0.999898810646275	0	0
THAP3	0.466659756188305	0.113221362309395	1.23019225842757	0.0920355022020004	0.926669832605236	0.999898810646275	11	0.523809523809524
VPS13D	14.0185311482684	-0.0692787498661819	0.191909095491729	-0.36099774056393	0.718101136115436	0.999898810646275	2	0.0952380952380952
H6PD	1.94270747936356	-0.218436272655476	0.491313577298173	-0.444596450716259	0.656611412897826	0.999898810646275	5	0.238095238095238
VAMP3	1.36754423492897	0.40775917343837	0.597048576797003	0.682958119799703	0.494633306704282	0.999898810646275	6	0.285714285714286
PER3	4.61597075537579	-0.402708594356015	0.319874150912152	-1.25895947893149	0.208044968332435	0.999898810646275	4	0.19047619047619
KIF1B	7.96926672084567	-0.360518671786981	0.267562333591092	-1.34741937307944	0.177845204621388	0.999898810646275	2	0.0952380952380952
PRKCZ	1.39131326036189	-0.853856391234164	0.614182489134296	-1.39023239239154	0.164458320106835	0.999898810646275	6	0.285714285714286
KCNAB2	1.37444493384491	-0.661223384766374	0.594720834922413	-1.11182145628484	0.266214924595691	0.999898810646275	7	0.333333333333333
ENO1	5.30891857596588	-0.881361336552312	0.447353038538097	-1.97016955430214	0.0488189415976883	0.999898810646275	4	0.19047619047619
GNB1	17.5357945327184	-0.0654479825979023	0.180627954488626	-0.362335845429859	0.717101074631848	0.999898810646275	1	0.0476190476190476
SDF4	0.903883609707835	0.433834945069414	0.639563873383489	0.678329347738631	0.497562894828995	0.999898810646275	7	0.333333333333333
PLOD1	1.50012624817546	1.26815156414377	0.553790716390762	2.28994731513149	0.022024370939132	0.999898810646275	5	0.238095238095238
ACOT7	2.74078775268855	-0.573620668191984	0.478817436024318	-1.19799452784098	0.230919147327125	0.999898810646275	3	0.142857142857143
DVL1	0.439458187201905	-0.270075536578114	1.42327037784526	-0.189757013693343	0.849499541895627	0.999898810646275	12	0.571428571428571
