ID	gene	r
ENSG00000233913	CTC-575D19.1	0.93816729
ENSG00000228065	LINC01515	0.895475235
ENSG00000225972	MTND1P23	0.888664951
ENSG00000113494	PRLR	0.85776618
ENSG00000229807	XIST	0.84467308
ENSG00000140563	MCTP2	0.840560568
ENSG00000152977	ZIC1	0.811377282
ENSG00000125740	FOSB	0.807628683
ENSG00000280237	MIR4697HG	0.783116597
ENSG00000183807	FAM162B	0.776356035
ENSG00000118246	FASTKD2	0.769143921
ENSG00000128016	ZFP36	0.768027823
ENSG00000261064	RP11-1000B6.3	0.76717576
ENSG00000204177	BMS1P1	0.760833246
ENSG00000176715	ACSF3	0.756548474
ENSG00000178149	DALRD3	0.755309481
ENSG00000174576	NPAS4	0.752405104
ENSG00000065675	PRKCQ	0.752393535
ENSG00000142089	IFITM3	0.750591119
ENSG00000171763	SPATA5L1	0.746677422
ENSG00000173372	C1QA	0.745038443
ENSG00000155659	VSIG4	0.744589715
ENSG00000011465	DCN	0.737085325
ENSG00000099715	PCDH11Y	0.731263661
ENSG00000160321	ZNF208	0.730214577
ENSG00000067596	DHX8	0.730003992
ENSG00000149591	TAGLN	0.728657298
ENSG00000198223	CSF2RA	0.728416519
ENSG00000114656	KIAA1257	0.71353115
ENSG00000110619	CARS	0.710160142
ENSG00000196793	ZNF239	0.70629688
ENSG00000082497	SERTAD4	0.705751934
ENSG00000122778	KIAA1549	0.705318999
ENSG00000067646	ZFY	0.704905646
ENSG00000249846	RP11-77P16.4	0.704617515
ENSG00000080224	EPHA6	0.704368498
ENSG00000136933	RABEPK	0.703905874
ENSG00000178301	AQP11	0.701534168
ENSG00000183783	KCTD8	0.700907506
ENSG00000162929	KIAA1841	0.699640095
ENSG00000075239	ACAT1	0.698872065
ENSG00000185201	IFITM2	0.698427369
ENSG00000166477	LEO1	0.697870048
ENSG00000225506	CYP4A22-AS1	0.696502593
ENSG00000124120	TTPAL	0.695298902
ENSG00000138686	BBS7	0.694727611
ENSG00000116668	SWT1	0.694651239
ENSG00000263002	ZNF234	0.693276592
ENSG00000206562	METTL6	0.690868258
ENSG00000115641	FHL2	0.690109033
ENSG00000006283	CACNA1G	0.689628016
ENSG00000144535	DIS3L2	0.68961774
ENSG00000140416	TPM1	0.689025109
ENSG00000226519	LINC00390	0.688906644
ENSG00000237161	RP11-32B5.1	0.687876166
ENSG00000128944	KNSTRN	0.68744109
ENSG00000123358	NR4A1	0.684174469
ENSG00000227345	PARG	0.683960951
ENSG00000224271	RP11-191L9.4	0.683956456
ENSG00000119335	SET	0.682597588
ENSG00000243004	AC005062.2	0.682565874
ENSG00000083812	ZNF324	0.68191062
ENSG00000162745	OLFML2B	0.681790576
ENSG00000143473	KCNH1	0.681349147
ENSG00000163749	CCDC158	0.679669522
ENSG00000233757	AC092835.2	0.678723348
ENSG00000141452	C18orf8	0.678498695
ENSG00000233930	KRTAP5-AS1	0.67783701
ENSG00000256193	LINC00507	0.6776514
ENSG00000274602	PI4KAP1	0.677226181
ENSG00000153317	ASAP1	0.675935638
ENSG00000127528	KLF2	0.675735996
ENSG00000145063	AC062028.1	0.675163586
ENSG00000225649	AC064875.2	0.674672989
ENSG00000002822	MAD1L1	0.670089186
ENSG00000189108	IL1RAPL2	0.669951963
ENSG00000275342	SGK223	0.667298103
ENSG00000110628	SLC22A18	0.666345304
ENSG00000146242	TPBG	0.666296624
ENSG00000196922	ZNF252P	0.664375382
ENSG00000127616	SMARCA4	0.663795555
ENSG00000154358	OBSCN	0.663487123
ENSG00000165246	NLGN4Y	0.663266804
ENSG00000205364	MT1M	0.663004181
ENSG00000132003	ZSWIM4	0.662698619
ENSG00000171759	PAH	0.661993804
ENSG00000064999	ANKS1A	0.661657843
ENSG00000197013	ZNF429	0.661128091
ENSG00000176273	SLC35G1	0.660362978
ENSG00000058799	YIPF1	0.658134972
ENSG00000006744	ELAC2	0.657721673
ENSG00000179240	RP11-111M22.2	0.65673195
ENSG00000052749	RRP12	0.656679492
ENSG00000164828	SUN1	0.656187459
ENSG00000198171	DDRGK1	0.655860004
ENSG00000204859	ZBTB48	0.655045199
ENSG00000109686	SH3D19	0.654210891
ENSG00000116906	GNPAT	0.654143338
ENSG00000025800	KPNA6	0.653991867
ENSG00000128641	MYO1B	0.653188531
ENSG00000103037	SETD6	0.653012294
ENSG00000132768	DPH2	0.652678071
ENSG00000107242	PIP5K1B	0.652198724
ENSG00000111711	GOLT1B	0.651768587
ENSG00000166261	ZNF202	0.651241491
ENSG00000170260	ZNF212	0.650749735
ENSG00000072756	TRNT1	0.650734517
ENSG00000158050	DUSP2	0.650238328
ENSG00000173890	GPR160	0.650122563
ENSG00000073849	ST6GAL1	0.649799209
ENSG00000131148	EMC8	0.649304871
ENSG00000172339	ALG14	0.648370997
ENSG00000270112	RP11-742D12.2	0.648143358
ENSG00000251293	CTC-552D5.1	0.64765809
ENSG00000158710	TAGLN2	0.647628945
ENSG00000147571	CRH	0.647592284
ENSG00000163249	CCNYL1	0.647592231
ENSG00000254361	RP11-238K6.2	0.646307621
ENSG00000023445	BIRC3	0.645949493
ENSG00000115998	C2orf42	0.644577522
ENSG00000107625	DDX50	0.643347808
ENSG00000205212	CCDC144NL	0.642711559
ENSG00000111110	PPM1H	0.64230891
ENSG00000109680	TBC1D19	0.642144127
ENSG00000157680	DGKI	0.641506174
ENSG00000182378	PLCXD1	0.641427272
ENSG00000203965	EFCAB7	0.640688175
ENSG00000100991	TRPC4AP	0.640243011
ENSG00000011021	CLCN6	0.639990377
ENSG00000110344	UBE4A	0.639568658
ENSG00000103035	PSMD7	0.638705229
ENSG00000104327	CALB1	0.638638622
ENSG00000261292	RP11-389G6.3	0.638038123
ENSG00000196363	WDR5	0.637817859
ENSG00000133111	RFXAP	0.637022558
ENSG00000164619	BMPER	0.635729814
ENSG00000100239	PPP6R2	0.635206498
ENSG00000151789	ZNF385D	0.634063872
ENSG00000143549	TPM3	0.633953424
ENSG00000274259	XXbac-BPG294E21.9	0.633933826
ENSG00000183662	FAM19A1	0.633419126
ENSG00000228126	FALEC	0.633221489
ENSG00000117448	AKR1A1	0.632704802
ENSG00000169019	COMMD8	0.632462987
ENSG00000011295	TTC19	0.632214629
ENSG00000188681	TEKT4P2	0.631674398
ENSG00000151693	ASAP2	0.631536597
ENSG00000136536	MARCH7	0.631532234
ENSG00000179933	C14orf119	0.630928187
ENSG00000151092	NGLY1	0.630794983
ENSG00000150967	ABCB9	0.630160309
ENSG00000140798	ABCC12	0.628687348
ENSG00000171004	HS6ST2	0.628596754
ENSG00000141337	ARSG	0.627343347
ENSG00000007923	DNAJC11	0.627184868
ENSG00000182197	EXT1	0.627053544
ENSG00000169490	TM2D2	0.626831327
ENSG00000089558	KCNH4	0.626488244
ENSG00000121486	TRMT1L	0.626246661
ENSG00000261971	MMP25-AS1	0.624096731
ENSG00000179603	GRM8	0.624005031
ENSG00000198929	NOS1AP	0.623928634
ENSG00000171960	PPIH	0.623896745
ENSG00000188760	TMEM198	0.623711006
ENSG00000100296	THOC5	0.622919864
ENSG00000225630	MTND2P28	0.622703179
ENSG00000135249	RINT1	0.622661677
ENSG00000164236	ANKRD33B	0.622526862
ENSG00000103174	NAGPA	0.622512336
ENSG00000118260	CREB1	0.622202058
ENSG00000173369	C1QB	0.621486492
ENSG00000117318	ID3	0.62143923
ENSG00000120256	LRP11	0.621257311
ENSG00000023041	ZDHHC6	0.620775194
ENSG00000184207	PGP	0.620656789
ENSG00000103507	BCKDK	0.61938876
ENSG00000186716	BCR	0.619374203
ENSG00000196588	MKL1	0.61935751
ENSG00000120539	MASTL	0.619003254
ENSG00000188343	FAM92A1	0.618820893
ENSG00000133422	MORC2	0.618419677
ENSG00000099968	BCL2L13	0.618361005
ENSG00000196367	TRRAP	0.618334774
ENSG00000120254	MTHFD1L	0.618062296
ENSG00000076356	PLXNA2	0.617881198
ENSG00000143106	PSMA5	0.617775359
ENSG00000196358	NTNG2	0.61771172
ENSG00000204568	MRPS18B	0.617559548
ENSG00000115875	SRSF7	0.617491408
ENSG00000145817	YIPF5	0.617483565
ENSG00000132423	COQ3	0.617415891
ENSG00000112592	TBP	0.617245032
ENSG00000109854	HTATIP2	0.616912434
ENSG00000132432	SEC61G	0.616604254
ENSG00000188295	ZNF669	0.616239854
ENSG00000129460	NGDN	0.615969539
ENSG00000166268	MYRFL	0.615877577
ENSG00000057468	MSH4	0.615733446
ENSG00000132801	ZSWIM3	0.615559778
ENSG00000100678	SLC8A3	0.614782486
ENSG00000169744	LDB2	0.614565363
ENSG00000172878	METAP1D	0.614543437
ENSG00000225783	MIAT	0.614449185
ENSG00000204576	PRR3	0.61421878
ENSG00000261193	RP11-863P13.5	0.614175002
ENSG00000117758	STX12	0.614109721
ENSG00000165929	TC2N	0.613896051
ENSG00000075399	VPS9D1	0.613746312
ENSG00000164326	CARTPT	0.613514426
ENSG00000197921	HES5	0.613482261
ENSG00000172661	FAM21C	0.613083328
ENSG00000111445	RFC5	0.612795926
ENSG00000183780	SLC35F3	0.612018013
ENSG00000197150	ABCB8	0.611768154
ENSG00000108588	CCDC47	0.611537846
ENSG00000164512	ANKRD55	0.610930577
ENSG00000160229	ZNF66	0.610533984
ENSG00000158445	KCNB1	0.610195112
ENSG00000152455	SUV39H2	0.609915278
ENSG00000270604	HCG17	0.608818379
ENSG00000257156	RP11-13A1.3	0.60816386
ENSG00000092931	MFSD11	0.607820155
ENSG00000168575	SLC20A2	0.607700533
ENSG00000116030	SUMO1	0.607480546
ENSG00000165338	HECTD2	0.607417778
ENSG00000183690	EFHC2	0.607320994
ENSG00000148356	LRSAM1	0.607078569
ENSG00000170464	DNAJC18	0.606745486
ENSG00000102893	PHKB	0.606101032
ENSG00000028203	VEZT	0.605683104
ENSG00000116489	CAPZA1	0.605599945
ENSG00000224738	AC099850.1	0.605551646
ENSG00000109944	C11orf63	0.605451223
ENSG00000156697	UTP14A	0.605343177
ENSG00000205279	CTXN3	0.60508679
ENSG00000232677	LINC00665	0.604651673
ENSG00000091136	LAMB1	0.60441648
ENSG00000228956	SATB1-AS1	0.603587948
ENSG00000262267	U95743.1	0.603236317
ENSG00000012817	KDM5D	0.602781501
ENSG00000132906	CASP9	0.602694586
ENSG00000166130	IKBIP	0.602327515
ENSG00000145623	OSMR	0.602285183
ENSG00000171914	TLN2	0.601778866
ENSG00000105220	GPI	0.601453183
ENSG00000140650	PMM2	0.600935317
ENSG00000123500	COL10A1	0.600561322
ENSG00000130734	ATG4D	0.60022311
ENSG00000131508	UBE2D2	0.600185439
ENSG00000085760	MTIF2	0.600127814
ENSG00000204991	SPIRE2	0.599940766
ENSG00000083520	DIS3	0.599596004
ENSG00000079156	OSBPL6	0.59858959
ENSG00000160323	ADAMTS13	0.598365654
ENSG00000106346	USP42	0.598114039
ENSG00000100804	PSMB5	0.598077944
ENSG00000258102	MAP1LC3B2	0.597994662
ENSG00000105426	PTPRS	0.597936848
ENSG00000105849	TWISTNB	0.59788253
ENSG00000137727	ARHGAP20	0.597654921
ENSG00000170458	CD14	0.597586257
