Input Sample,Astro,Exc,Inh,Micro,Oligo,OPC,P-value,Pearson Correlation,RMSE
AN00142_ba9_3rd,0.06855531083604256,0.8019444094151821,0.03929326963187352,0,0.09020701011690181,0,0,0.613290015355348,0.8622490400514555
AN00493_ba9_104,0.07571221581844664,0.680489384429347,0.06254761038760168,0.0049901267909807125,0.17626066257362386,0,0,0.4582552363301492,0.8920394108926918
AN00544_ba9_16,0.06419296164977646,0.822782138602256,0.028865212919613793,0,0.08415968682835379,0,0,0.562718703992317,0.8799837753079124
AN00764_ba9_61,0.054440333946634806,0.7920747613845737,0.07143129329901504,0,0.0820536113697765,0,0,0.5240479554177534,0.8925678565750935
AN01125_ba9_22,0.05627914180016006,0.7203044389270307,0.02113538478026129,0.004269269694274103,0.19801176479827387,0,0,0.7532888897753799,0.7327818013850212
AN01410_ba9_67,0.06231561431711444,0.7989554958354459,0.050909159499178486,0.003999874012738939,0.08381985633552232,0,0,0.5918633148764053,0.8719092902401124
AN01570_ba9_58,0.011501491675274218,0.9233762941457027,0.05289542581576072,0,0.01222678836326241,0,0,0.6105718487572032,0.8797430472143508
AN01971_ba9_1st,0.1874101829057204,0.7580192363609123,0.025902703459024325,0,0.028667877274343036,0,0,0.30077093619594436,0.9605559887957859
AN03217_ba9_2nd,0.10680598861300404,0.680736041241875,0.008067759140172399,0,0.20439021100494856,0,0,0.48941443263619727,0.8740111195883496
AN03345_ba9_79,0.06548620382717651,0.7607676426822741,0.039574576920241605,0.04203345321094982,0.09213812335935782,0,0,0.42582526490895317,0.9196808607009237
AN03632_ba9_2nd,0.0863458692883994,0.8076334471249232,0.01617151854754498,0.003777454682332721,0.08607171035679968,0,0,0.39432380285548974,0.9299616600294817
AN03935_ba9_2nd,0.1244973484664639,0.7538966871147535,0.04779119941332717,0.03293585900864212,0.04087890599681323,0,0,0.33555783114936044,0.9517315320004459
AN04479_ba9_10,0.08198294872758809,0.7226412567607414,0.04994044101411054,0.0017253470970638289,0.1437100064004961,0,0,0.6508323206342862,0.8210943264301406
AN04682_ba9_1st,0.054537800976292024,0.8077367289455766,0.054107386332350176,0,0.08361808374578128,0,0,0.5748937395092496,0.8765127989906234
AN05983_ba9_3rd,0.051483464348144416,0.8755273472683204,0.04674670658243078,0,0.026242481801104497,0,0,0.6281536461185846,0.877531517640094
AN06420_ba9_52,0.047120945097530946,0.8288859478286882,0.032848468744434714,0.0007,0.09043793851682523,0,0,0.6227322205034911,0.8577491937312269
AN07176_ba9_13,0.024667548482836664,0.83228614443757,0.051270308893932796,0,0.0917759981856606,0,0,0.6151426904632681,0.8585841894318844
AN07444_ba9_3rd,0,0.9117240549707215,0.0651490186416982,0,0.02312692638758027,0,0,0.6482445246477513,0.8679467198059044
AN08043_ba9_1st,0.03207334778715039,0.8491490756692213,0.06074123091823399,0,0.05803634562539434,0,0,0.6197752596479621,0.8711479688230969
AN08161_ba9_1st,0.034141358693804316,0.6906931699693493,0.026464632772189797,0.006591943726262289,0.2421088948383944,0,0,0.636647598587479,0.7819124624728937
AN08166_ba9_85,0.018373665410770356,0.8567399683277479,0.07118227121071598,0.007068481780036553,0.046635613270729175,0,0,0.5810507491484886,0.8848722905746661
AN08792_ba9_101,0.05034756334332543,0.7812973473505322,0.017001226280117916,0.00818183807718668,0.14317202494883785,0,0,0.4918894472909375,0.8843372440965618
AN08873_ba9_76,0.03298340809505426,0.7234522175183105,0.10738835226010607,0.0001,0.1360398110000468,0,0,0.5768205668610381,0.8532036991539503
AN09402_ba9_3rd,0.05324203070005708,0.8331273434623933,0.03350389326777083,0,0.08012673256977883,0,0,0.6457345490912569,0.8555735004610783
AN09714_ba9_1st,0.1231844224640772,0.7349188397700176,0.03409321665442132,0,0.1078035211114838,0,0,0.477179658939835,0.9006450035503771
AN09730_ba9_118,0.1490835989603939,0.671298416370884,0.021995096081666016,0,0.1576228885870561,0,0,0.5079134504557204,0.8750528768908843
AN10028_ba9_115,0.02167207903008572,0.6172251833453676,0.03294374114234554,0.0005,0.32764343895869735,0,0,0.7004636057152359,0.7142990653353724
AN10679_ba9_1st,0.05157177208560205,0.7763915290097417,0.07565245369706719,0.0004,0.09599752743812233,0,0,0.6212561115552002,0.8566234837626894
AN10723_ba9_1st,0.06003426978657634,0.8473127420159541,0.03342926469866255,0,0.05922372349880703,0,0,0.592595060411029,0.879774087086796
AN10833_ba9_46,0.026344262814741923,0.8347431090077232,0.07101022583716347,0,0.06790240234037134,0,0,0.5689491627851799,0.8823831353381039
AN11864_ba9_3rd,0.06408230691415556,0.853179439732878,0.0329342154340708,0,0.0498040379188956,0,0,0.6379240948979421,0.8703622302779593
AN11931_ba9_3rd,0.05684392888376637,0.8200866016035225,0.01885977523460364,0.0056612431377150215,0.09854845114039239,0,0,0.536659400386023,0.8827044822601712
AN11989_ba9_109,0.013971611083708414,0.8631125162824073,0.010180036018640683,0,0.11273583661524363,0,0,0.6199464224505876,0.8454464339838632
AN12137_ba9_3rd,0.05289856423321063,0.8612433116664078,0.03154873324477547,0,0.05430939085560611,0,0,0.6353331623848847,0.8687340985444564
AN12240_ba9_7,0.020504593959266956,0.7234545904450163,0.01861652747319014,0,0.23742428812252664,0,0,0.7647493679699331,0.6958324056921047
AN12457_ba9_34,0.040745536258030485,0.7369166062164105,0.0007,0,0.22158830388806763,0,0,0.4888757415047653,0.873062466642429
AN13295_ba9_88,0.058665731329232515,0.6955174278977764,0.04066477336902478,0,0.20515206740396635,0,0,0.5276959861206515,0.8542314507855725
AN13872_ba9_49,0.010380623331550019,0.9071573918632388,0.07392655875492796,0.0001,0.008405293757366612,0,0,0.6274979593777983,0.8756006837458833
AN14757_ba9_2nd,0.035729819022639116,0.8016046431265269,0.04144090902188976,0,0.12122462882894425,0,0,0.6532539073037226,0.8307001276324308
AN14762_ba9_1st,0.012264403624614784,0.8829168106672444,0.06922594219339034,0.0008,0.034785221992531305,0,0,0.5938986853736246,0.8826388975791449
AN14829_ba9,0.5319085153492131,0.17969051007388,0.008274185418548333,0,0.28012678915835854,0,0,0.6273195136719917,0.7790013677763713
AN15088_ba9_1st,0.059177419590614504,0.7900733898772613,0.04033834169559285,0.0028663851189232718,0.1075444637176081,0,0,0.6052815198254374,0.8565394845994381
AN15451_ba9,0.1577088392094852,0.7571612223550931,0.02466479688938212,0,0.060465141546039554,0,0,0.5134347042743806,0.9048124238909333
AN15566_ba9_28,0.057609120092466284,0.7569767370579633,0.04314198728399498,0,0.14227215556557543,0,0,0.5391741456735609,0.866230462280119
AN16115_ba9_70,0.10514060800403112,0.26318069892782087,0.0979211713163351,0.007879806130308534,0.5241749370418373,0.0017027785796671913,0,0.8429731603322347,0.5723784309603905
AN16641_ba9_73,0.056082016492615926,0.7342427592658215,0.07524587506295406,0,0.13442934917860852,0,0,0.5118773870641047,0.8794752598733178
AN17138_ba9_43,0.15369798046348734,0.8037216361308168,0.024093128500699338,0,0.018487254904996416,0,0,0.6129288405244613,0.8882743519666959
AN17254_ba9_98,0.1391450987435334,0.5624773194923082,0.04210434607958385,0.04756694512464303,0.20870629055993145,0,0.01,0.22030838507446207,1.0000761601835695
AN17425_ba9_1st,0.07863871677613407,0.7103540519186314,0.015341973162811285,0,0.19566525814242322,0,0,0.577397118768931,0.8309513421238961
AN17515_ba9_1st,0.0801360959690875,0.7614424381331893,0.04859880591267223,0,0.1053789666051901,0.004443693379860866,0,0.5962975998382689,0.8616569411934685
AN19442_ba9_3rd,0.03323008987445966,0.8283657485676688,0.04920337359402025,0.0017565645249175456,0.0874442234389337,0,0,0.6623912525442002,0.8459121814852378
AN19511_ba9_112,0.12659296161020303,0.7844910522815172,0.03946454175666257,0.019781145855766315,0.027797375808288963,0.0018729226875619117,0,0.375065676307982,0.943787062510968
AN19760_ba9_25,0.020372257962474324,0.8556994786113722,0.040436911949593916,0,0.08349135147655962,0,0,0.5557650673621971,0.8803385163970596
UMB1185_ba9,0.0195794324785689,0.7543233730626155,0.033857235787574075,0,0.19223995867124152,0,0,0.7209729791787677,0.7540969696229063
UMB1376_ba9_3rd,0.01728087381361828,0.8733271394999783,0.03059523970716219,0,0.07879674697924118,0,0,0.6703921644766171,0.8454342632184311
UMB1407_ba9,0.0009,0.8398268706961373,0.03553137643698868,0.006894187901063475,0.1168820100467298,0,0,0.7160382194987979,0.8071019115544174
UMB1499_ba9,0.04840808180623663,0.868865404999984,0.04203135977667504,0.01138215239598556,0.029313001021118803,0,0,0.6176250599494534,0.880616730117628
UMB1578_ba9_2nd,0.015518989129146673,0.8536112810644005,0.03583773179105851,0,0.09503199801539426,0,0,0.6694606686877861,0.8376920469039334
UMB1714_ba9,0.01813274235208361,0.8849429389248052,0.057222682545599396,0,0.039701636177511684,0,0,0.6344300123785135,0.8707411043779424
UMB4334_ba9,0.09887041222023601,0.820741585250055,0.03841442820583991,0,0.04197357432386912,0,0,0.5786276236444478,0.8907188027040512
UMB4337_ba9_3rd,0.04449275415668735,0.8135787830069005,0.119158520616547,0.0058332948199158515,0.016936647399949236,0,0,0.5788544407524375,0.8917520711420691
UMB4590_ba9_1st,0.01770654928901905,0.8702605937645843,0.04411488694259578,0,0.06791797000380087,0,0,0.5293480760325128,0.892981782788766
UMB4670_ba9,0.02040848138471162,0.8026940512460491,0.0602106089647295,0.004267393288948066,0.11241946511556175,0,0,0.6688950750197259,0.8295859335318069
UMB4787_ba9,0.04173315055549797,0.8414689922710659,0.04032920388388164,0,0.07646865328955454,0,0,0.6433354183279927,0.8573414102126505
UMB4842_ba9_2nd,0.02811814012001936,0.89142271029246,0.02764599806861946,0,0.0528131515189012,0,0,0.6054079424916116,0.8754978590926615
UMB4849_ba9_2nd,0.026110526746419872,0.8331347095084445,0.07411629558344972,0,0.06663846816168595,0,0,0.5389158685220388,0.8914702367084631
UMB4999_ba9_2nd,0.007064204663044646,0.8996195709868471,0.04027951544738083,0,0.05303670890272751,0,0,0.6376068863538357,0.8647846624367056
UMB5023_ba9,0.057575557479471594,0.7949990540103549,0.03236957764073423,0,0.11505581086943939,0,0,0.6331668015453367,0.8424730007321811
UMB5027_ba9_1st,0.054822247167865386,0.8179540008669156,0.04074234173382037,0,0.08648141023139864,0,0,0.4966683788907355,0.8991234273558901
UMB5079_ba9_2nd,0.03376260725406435,0.8711817086593345,0.03885132225886787,0,0.05620436182773321,0,0,0.6047353489941187,0.8755590210347439
UMB5115_ba9_2nd,0.059862956602111224,0.7844474263383602,0.01691135336896074,0,0.13877826369056787,0,0,0.5698692794238552,0.8551019122682303
UMB5144_ba9_2nd,0.002323102223551996,0.8725898533466862,0.03289805097018629,0,0.09218899345957553,0,0,0.6536081125808535,0.843411466678402
UMB5163_ba9_2nd,0.03578835896795804,0.8906617589588829,0.06631867735301539,0,0.007231204720143741,0,0,0.5525504417970584,0.8974399573442481
UMB5168_ba9_2nd,0,0.9013748090488516,0.05194869277860237,0,0.04667649817254614,0,0,0.5704930313330765,0.8853896472074704
UMB5176_ba9,0.0024154374067223627,0.9340186642707132,0.0383711271824254,0,0.02519477114013898,0,0,0.6333067940544223,0.8712434168249148
UMB5242_ba9_1st,0.0009,0.8778915297904368,0.03175503065230818,0,0.0894568917129439,0,0,0.6567962303664927,0.8434919423857862
UMB5278_ba9_1st,0.0486683676951095,0.8557196505517507,0.07418018816660404,0,0.02143179358653578,0,0,0.6099837593825325,0.8832104959481332
UMB5297_ba9_1st,0.2203402765415661,0.6531603402116148,0.08058664781689735,0,0.04591273542992171,0,0,0.42783252925467735,0.9302851498126361
UMB5303_ba9,0.04886309424381255,0.7852975038048616,0.03847390061738969,0.001210530209661559,0.12615497112427457,0,0,0.659877790729301,0.8260608679251322
UMB5308_ba9_2nd,0.018844255240101363,0.8857278641016781,0.0729346285780028,0,0.022493252080217616,0,0,0.6071551426334486,0.881231668103521
UMB5309_ba9,0.06488739156602621,0.8505402702241687,0.03128632999220648,0,0.0532860082175986,0,0,0.6026498355554716,0.8790333692506359
UMB5340_ba9_2nd,0.06765581346776262,0.8522164516271331,0.03734699068981265,0,0.04278074421529169,0,0,0.4864886170431327,0.912579152418847
UMB5342_ba9_2nd,0.019757100690067694,0.8377325919739994,0.057055232484177806,0,0.08545507485175519,0,0,0.503051866348929,0.8962866572985138
