,CARseq Astro,CARseq Exc,CARseq Inh,CARseq Micro,CARseq Oligo,CARseq OPC,TOAST Astro,TOAST Exc,TOAST Inh,TOAST Micro,TOAST Oligo,TOAST OPC,DESeq2 bulk
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,-0.777115784159829,-1.50103475918062,-5.21885843254845,2.59405437727723,-1.07137760277785,-1.04665517149354,2.21457998054389,0.940767813531381,1.52066581016839,1.87501570801331,0.210150562556022,-0.514923267892915,4.96253653795317
REACTOME_INFLUENZA_INFECTION,3.8992116986027,-0.322085401043206,2.41839506520807,17.8404285581524,3.76129971135976,2.11086138677446,1.18352208989818,0.109153288258622,0.0354726169403514,7.72787381550602,-0.0621531942052134,0.711991929789283,5.29015616837752
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY,-1.01939518398596,-0.465211856781666,-0.679687072305093,1.19787972283124,0.439247166311969,-0.742385661308263,1.18352208989818,-0.0488078858077812,0.0354726169403514,-0.104157728642715,0.115816937183822,0.0726289393908821,0.620887631247392
REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS,-0.370425055458326,-0.58193152881131,-0.536045085810517,0.875571214684626,0.4835102701815,0.678413298579487,0.106574081051067,1.7853762445782,0.107507758322886,-0.137953898103533,0.108795342494817,-0.0937306967417576,0.524511433225441
REACTOME_INTERFERON_SIGNALING,-0.480514328847998,-0.433135701126376,-4.13494943570508,3.94109389993114,0.945695786016888,1.226995555194,0.979479565853894,1.05211144402794,0.374241266149573,0.581494286703356,0.22992724626221,-0.823846526455273,5.65125641226044
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,-1.12184658274331,1.30523483779191,5.18182131574319,-4.0994404850884,0.593375284225257,1.26546251857344,-0.00195034916209898,0.853194569448823,0.154218665981901,-0.502497963258963,-0.0674621753915062,-0.185458213523348,-0.595590162578982
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,1.03332432673339,1.06772593579653,2.36992670104696,-3.5906247807811,3.61028058852835,-1.85082538972777,0.0607924410746026,0.332243959113864,1.52066581016839,-0.0878619050656834,0.132747999466607,3.73304860888032,0.864065879090237
REACTOME_ONCOGENIC_MAPK_SIGNALING,0.332108884357249,0.198415986440925,0.841403085736623,1.12189245590034,0.520381802308037,1.01837227258622,0.64111376300677,0.717858484043899,1.42135119596079,-0.315812448897497,-0.0621531942052134,-0.0726289393908821,0.370304487533412
REACTOME_ATTENUATION_PHASE,0.448525060481934,0.323605947567197,-1.54510305684683,1.01771775057044,0.905475334025467,-0.896491290171209,0.14703482206037,-0.120282035584702,1.14970922381964,-0.31291163605731,-0.261118585803389,0.448578520075581,2.61298516020708
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,6.14182523242384,-1.65165910291664,2.05421875592282,27.0331712443394,2.99330622994673,2.41668866680644,0.64111376300677,0.0913682179512545,-0.0472550147263266,8.77695857167021,0.183859180894069,3.18203539891814,9.27576251390871
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,3.89922583137455,-1.59114051890083,1.67383685591039,19.1863546860549,3.13491732196341,1.53599857430212,0.201214333167518,0.0417189270344681,-0.0472550147263266,8.22688519467235,0.0702892308062949,3.18203539891814,7.63811491325755
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,2.22593877236233,-0.356955032972607,3.64051281883184,14.3607256300004,2.06188464035729,1.96365027239963,0.0729442016850082,-0.0877770322492595,0.0472550147263266,7.03089933499147,0.0576998097166148,2.12551818315927,8.72889916140226
REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES,0.29391756484986,0.198251370153284,0.424908192631141,0.777039319049546,0.541579243946581,0.734785032172929,-0.00195034916209898,-0.0560289648403666,0.0795229473499164,0.147970975656705,0.261118585803389,0.0937306967417576,1.37486503906956
REACTOME_GAP_JUNCTION_ASSEMBLY,-1.20618108809098,-1.58440259710163,-1.54510305684683,0.631855829862799,-0.905404829670182,-0.98998223618301,0.201214333167518,-0.0417189270344681,0.0434944464363958,-0.315812448897497,0.22992724626221,0.0726289393908821,2.06778275796058
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,0.448809093967054,-1.68079664919258,-2.64596473092747,2.20796169715095,-0.74251089411451,1.43016871966697,-0.00195034916209898,0.0653950576094228,0.107507758322886,-0.158944240021001,0.22992724626221,0.106463747893063,6.71988492001662
REACTOME_TRANSLATION,2.22593877236233,0.39419145103065,3.30903182061491,9.42955200928082,7.98286843732766,1.72719114477778,0.252231571568915,0.0417189270344681,0.103435679201047,4.46186190277257,0.132747999466607,5.63065912126952,1.24473047789514
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,1.59035130969456,1.24148521754149,2.6622038642676,-3.25382890274042,3.82883047909939,-1.80500930317277,0.57421792372773,0.184863114919935,1.52066581016839,0.0947900525660492,0.183859180894069,5.13139130997691,0.359780138507954
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS,1.21000643219391,0.913618734004164,2.60192910849582,-3.85929454199479,4.01027119226418,-1.7798593419964,0.329967534764704,0.17256928998256,1.42135119596079,-0.0854101481496046,0.183859180894069,4.30431032588284,0.522937368147297
