"","pathway","pval","padj","log2err","ES","NES","size"
"1","REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",0.00139467218837043,0.0149758003916282,0.45505986738723,0.189664627354206,2.16140962596629,96
"2","REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS",0.713675213675214,0.866423326502732,0.0645031249656493,-0.164350903691567,-0.804161415317745,16
"3","REACTOME_ABC_TRANSPORTER_DISORDERS",1.22348195189227e-05,0.000368168273443607,0.593325476396405,0.292252400266982,2.86638713968142,70
"4","REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT",0.11439842209073,0.318701901340925,0.184706471207739,0.232632300936194,1.34269577397993,23
"5","REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE",0.044921875,0.182147562582345,0.30068212900741,0.356482976427688,1.54837672907443,13
"6","REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION",0.4453125,0.70359375,0.0840745577910723,0.260572247530327,0.995551969413495,10
"7","REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS",0.646216768916155,0.814955241073281,0.0672065093710464,-0.130682199631816,-0.851174498582943,29
"8","REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3",0.716796875,0.866423326502732,0.059989249649033,0.21212571019092,0.810455336457992,10
"9","REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION",0.00971716136275501,0.0651344270739821,0.380730400722792,0.335672215108835,1.87056968593157,22
"10","REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS",0.12753036437247,0.335141686949552,0.176694268938498,0.243303457106274,1.35583480210832,22
"11","REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS",0.643605870020964,0.812680417781977,0.0686325631836726,-0.100526234805355,-0.838253940779622,50
"12","REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",0.224742268041237,0.46987702921287,0.130777137971974,-0.175027222649244,-1.19178053553173,32
"13","REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.253668763102725,0.502791491024398,0.123257226381337,-0.253724466287821,-1.17456312168464,14
"14","REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS",0.254473161033797,0.503483570846833,0.119348440591015,0.18526271105809,1.15786620686582,28
"15","REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP",0.456140350877193,0.70852615164159,0.0826646449123753,0.126733072106053,0.975193670683483,42
"16","REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON",0.0248869053218691,0.121791669407023,0.352487857583619,0.367390302595873,1.76907077322229,16
"17","REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING",0.21010101010101,0.457424640101805,0.134273452883202,0.199782876822987,1.20674821637566,26
"18","REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES",0.31047619047619,0.573266555370061,0.103576326612592,0.248220959402038,1.12723845847019,14
"19","REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS",0.0596707818930041,0.212889950882782,0.266350657088526,0.1537584553912,1.62925686796549,85
"20","REACTOME_ACTIVATION_OF_RAC1",0.919421487603306,0.965279895115556,0.051011413203915,-0.150063987714359,-0.641939108670849,12
"21","REACTOME_ACTIVATION_OF_SMO",0.0977011494252874,0.286624592213177,0.197822021315103,0.303085534848795,1.40434199658384,15
"22","REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS",0.533203125,0.752149219529623,0.0745500777420554,0.242304345600655,0.925756947435873,10
"23","REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S",0.00165148281574429,0.0169124073538258,0.45505986738723,0.245485270379338,2.24093839434494,59
