"","pathway","pval","padj","log2err","ES","NES","size"
"1","GO_2_OXOGLUTARATE_METABOLIC_PROCESS",0.390688259109312,0.545053884908103,0.0934449219410994,0.230653534520402,1.02772090421978,14
"2","GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS",0.657142857142857,0.733678871360535,0.0662842187012672,0.156913929003816,0.814224374654989,19
"3","GO_3_UTR_MEDIATED_MRNA_DESTABILIZATION",0.864173228346457,0.886165660804376,0.05163559644842,-0.151486376899991,-0.690912080361095,14
"4","GO_3_UTR_MEDIATED_MRNA_STABILIZATION",0.778008298755187,0.819360815403277,0.0589694466690997,0.164240659873848,0.749046431461529,15
"5","GO_ACETYL_COA_BIOSYNTHETIC_PROCESS",0.0760233918128655,0.215427905959411,0.227987202850442,-0.270224921651829,-1.4906480263153,21
"6","GO_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE",0.314779270633397,0.484459574147068,0.103197466945307,-0.235322658903445,-1.11900398883658,15
"7","GO_ACETYL_COA_METABOLIC_PROCESS",0.13373253493014,0.304920354251079,0.170932335370056,0.195143273433706,1.36169799082008,35
"8","GO_ACIDIC_AMINO_ACID_TRANSPORT",0.180894308943089,0.362620489708242,0.14641623786055,-0.143095064429857,-1.29047261902556,60
"9","GO_ACID_SECRETION",0.087719298245614,0.234717653508772,0.211400189384923,-0.128098422939382,-1.40760725144792,89
"10","GO_ACROSOME_REACTION",0.49003984063745,0.613829946670996,0.0799858801499946,0.156062467558171,0.944519497099344,26
"11","GO_ACTIN_CYTOSKELETON_REORGANIZATION",0.0467479674796748,0.161496040392681,0.30068212900741,0.151072208628621,1.63972947529446,86
"12","GO_ACTIN_FILAMENT_BASED_MOVEMENT",0.135353535353535,0.306720322315785,0.170932335370056,0.10782665696318,1.35263616141043,112
"13","GO_ACTIN_FILAMENT_BASED_PROCESS",5.43855474981516e-08,2.57037668697176e-06,0.719512826338911,0.116318328279179,3.30605627375871,633
"14","GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION",0.00984367179261306,0.0516415823255794,0.380730400722792,0.138461913824233,1.85310970589618,132
"15","GO_ACTIN_FILAMENT_DEPOLYMERIZATION",0.462776659959759,0.596015184445489,0.0835990603684159,0.125054662066955,0.972967267019333,44
"16","GO_ACTIN_FILAMENT_ORGANIZATION",0.000180750768709128,0.00231119982922739,0.518848077743792,0.119516298817343,2.53538165905014,326
"17","GO_ACTIN_FILAMENT_POLYMERIZATION",0.0487804878048781,0.166360198452625,0.294066672318865,0.115192281788793,1.61906578980473,145
"18","GO_ACTIN_MEDIATED_CELL_CONTRACTION",0.146997929606625,0.321998662614787,0.165656695205483,0.120071422774125,1.32555897993772,90
"19","GO_ACTIN_NUCLEATION",0.179282868525896,0.360794471735972,0.14551614609036,0.167772472221155,1.28704828773057,43
"20","GO_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION",0.0250809300089334,0.101996470705931,0.352487857583619,0.112027158930866,1.70572175749793,171
"21","GO_ACTION_POTENTIAL",0.0591966173361522,0.185642760056802,0.271288554688953,0.127277803943289,1.51460064335321,107
"22","GO_ACTIVATED_T_CELL_PROLIFERATION",0.0828282828282828,0.226335575448002,0.222056046145248,-0.235537075440945,-1.46658541404752,28
"23","GO_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY",0.539525691699605,0.648539907670996,0.0745500777420554,0.141085312849499,0.900123245358014,29
"24","GO_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY",0.810650887573965,0.846119069638041,0.0546808488785442,-0.163788084610906,-0.718645635592339,13
"25","GO_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS",0.0903846153846154,0.239180039055867,0.206587922696891,-0.145628074176302,-1.43490518574424,71
"26","GO_ACTIVATION_OF_GTPASE_ACTIVITY",0.0630252100840336,0.191998654607968,0.261663521711573,0.148402896081772,1.55554861125283,80
"27","GO_ACTIVATION_OF_IMMUNE_RESPONSE",9.04934231756006e-11,1.49626194526553e-08,0.839088935621274,-0.162005722695852,-3.95048129638427,456
